run_id,step,prev_neutrons,neutrons,next_neutrons,prev_keff,keff,next_keff,classification
1,0,-1.0,5,11.0,-1.0,-1.0,2.2,initial
1,1,5.0,11,14.0,-1.0,2.2,1.2727272727272727,supercritical
1,2,11.0,14,22.0,2.2,1.2727272727272727,1.5714285714285714,supercritical
1,3,14.0,22,37.0,1.2727272727272727,1.5714285714285714,1.681818181818182,supercritical
1,4,22.0,37,46.0,1.5714285714285714,1.681818181818182,1.2432432432432432,supercritical
1,5,37.0,46,55.0,1.681818181818182,1.2432432432432432,1.1956521739130437,supercritical
1,6,46.0,55,50.0,1.2432432432432432,1.1956521739130437,0.9090909090909092,supercritical
1,7,55.0,50,34.0,1.1956521739130437,0.9090909090909092,0.68,extinguished
1,8,50.0,34,35.0,0.9090909090909092,0.68,1.0294117647058822,extinguished
1,9,34.0,35,54.0,0.68,1.0294117647058822,1.542857142857143,equilibrium
1,10,35.0,54,48.0,1.0294117647058822,1.542857142857143,0.8888888888888888,supercritical
1,11,54.0,48,62.0,1.542857142857143,0.8888888888888888,1.2916666666666667,extinguished
1,12,48.0,62,44.0,0.8888888888888888,1.2916666666666667,0.7096774193548387,supercritical
1,13,62.0,44,42.0,1.2916666666666667,0.7096774193548387,0.9545454545454546,extinguished
1,14,44.0,42,51.0,0.7096774193548387,0.9545454545454546,1.2142857142857142,equilibrium
1,15,42.0,51,64.0,0.9545454545454546,1.2142857142857142,1.2549019607843137,supercritical
1,16,51.0,64,27.0,1.2142857142857142,1.2549019607843137,0.421875,supercritical
1,17,64.0,27,37.0,1.2549019607843137,0.421875,1.3703703703703705,extinguished
1,18,27.0,37,41.0,0.421875,1.3703703703703705,1.108108108108108,supercritical
1,19,37.0,41,-1.0,1.3703703703703705,1.108108108108108,-1.0,supercritical
2,0,-1.0,5,6.0,-1.0,-1.0,1.2,initial
2,1,5.0,6,16.0,-1.0,1.2,2.6666666666666665,supercritical
2,2,6.0,16,26.0,1.2,2.6666666666666665,1.625,supercritical
2,3,16.0,26,44.0,2.6666666666666665,1.625,1.6923076923076923,supercritical
2,4,26.0,44,48.0,1.625,1.6923076923076923,1.0909090909090908,supercritical
2,5,44.0,48,39.0,1.6923076923076923,1.0909090909090908,0.8125,supercritical
2,6,48.0,39,35.0,1.0909090909090908,0.8125,0.8974358974358975,extinguished
2,7,39.0,35,44.0,0.8125,0.8974358974358975,1.2571428571428571,extinguished
2,8,35.0,44,51.0,0.8974358974358975,1.2571428571428571,1.1590909090909092,supercritical
2,9,44.0,51,48.0,1.2571428571428571,1.1590909090909092,0.9411764705882352,supercritical
2,10,51.0,48,29.0,1.1590909090909092,0.9411764705882352,0.6041666666666666,extinguished
2,11,48.0,29,40.0,0.9411764705882352,0.6041666666666666,1.3793103448275863,extinguished
2,12,29.0,40,37.0,0.6041666666666666,1.3793103448275863,0.925,supercritical
2,13,40.0,37,45.0,1.3793103448275863,0.925,1.2162162162162162,extinguished
2,14,37.0,45,34.0,0.925,1.2162162162162162,0.7555555555555555,supercritical
2,15,45.0,34,52.0,1.2162162162162162,0.7555555555555555,1.5294117647058822,extinguished
2,16,34.0,52,45.0,0.7555555555555555,1.5294117647058822,0.8653846153846154,supercritical
2,17,52.0,45,48.0,1.5294117647058822,0.8653846153846154,1.0666666666666669,extinguished
2,18,45.0,48,41.0,0.8653846153846154,1.0666666666666669,0.8541666666666666,supercritical
2,19,48.0,41,-1.0,1.0666666666666669,0.8541666666666666,-1.0,extinguished
3,0,-1.0,2,5.0,-1.0,-1.0,2.5,initial
3,1,2.0,5,10.0,-1.0,2.5,2.0,supercritical
3,2,5.0,10,13.0,2.5,2.0,1.3,supercritical
3,3,10.0,13,37.0,2.0,1.3,2.8461538461538463,supercritical
3,4,13.0,37,48.0,1.3,2.8461538461538463,1.2972972972972974,supercritical
3,5,37.0,48,58.0,2.8461538461538463,1.2972972972972974,1.2083333333333333,supercritical
3,6,48.0,58,40.0,1.2972972972972974,1.2083333333333333,0.6896551724137931,supercritical
3,7,58.0,40,53.0,1.2083333333333333,0.6896551724137931,1.325,extinguished
3,8,40.0,53,55.0,0.6896551724137931,1.325,1.0377358490566038,supercritical
3,9,53.0,55,43.0,1.325,1.0377358490566038,0.7818181818181819,equilibrium
3,10,55.0,43,38.0,1.0377358490566038,0.7818181818181819,0.8837209302325582,extinguished
3,11,43.0,38,41.0,0.7818181818181819,0.8837209302325582,1.0789473684210529,extinguished
3,12,38.0,41,67.0,0.8837209302325582,1.0789473684210529,1.6341463414634143,supercritical
3,13,41.0,67,59.0,1.0789473684210529,1.6341463414634143,0.8805970149253731,supercritical
3,14,67.0,59,37.0,1.6341463414634143,0.8805970149253731,0.6271186440677966,extinguished
3,15,59.0,37,40.0,0.8805970149253731,0.6271186440677966,1.0810810810810811,extinguished
3,16,37.0,40,51.0,0.6271186440677966,1.0810810810810811,1.275,supercritical
3,17,40.0,51,47.0,1.0810810810810811,1.275,0.9215686274509804,supercritical
3,18,51.0,47,67.0,1.275,0.9215686274509804,1.425531914893617,extinguished
3,19,47.0,67,-1.0,0.9215686274509804,1.425531914893617,-1.0,supercritical
4,0,-1.0,1,5.0,-1.0,-1.0,5.0,initial
4,1,1.0,5,10.0,-1.0,5.0,2.0,supercritical
4,2,5.0,10,11.0,5.0,2.0,1.1,supercritical
4,3,10.0,11,22.0,2.0,1.1,2.0,supercritical
4,4,11.0,22,23.0,1.1,2.0,1.0454545454545454,supercritical
4,5,22.0,23,34.0,2.0,1.0454545454545454,1.4782608695652173,equilibrium
